Time [sec];Acceleration [g]
49.6;-0.0232
49.7;-0.0149
49.8;-0.002
49.9;-0.0029
50.0;0.0095
50.1;0.0088
50.2;0.006
50.3;-0.0209
50.4;-0.0087
50.5;0.022
50.6;-0.0202
50.7;0.0154
50.8;0.0045
50.9;-0.0196
51.0;0.0097
51.1;-0.0064
51.2;-0.0321
51.3;0.0046
51.4;0.0087
51.5;0.0186
51.6;0.0018
51.7;0.0047
51.8;0.0211
51.9;-0.02
52.0;0.0155
52.1;0.0101
52.2;-0.0048
52.3;-0.0196
52.4;-0.0011
52.5;-0.0167
52.6;-0.0018
52.7;-0.0029
52.8;0.0195
52.9;-0.0485
53.0;0.0048
53.1;-0.0059
53.2;0.0179
53.3;-0.0146
53.4;0.0088
53.5;-0.0103
53.6;0.004
53.7;-0.0207
53.8;-0.001
53.9;0.0111
54.0;0.0187
54.1;-0.0044
54.2;0.0064
54.3;-0.0085
54.4;-0.0049
54.5;-0.0133
54.6;0.0006
54.7;0.0047
54.8;0.0216
54.9;-0.014
55.0;0.0139
55.1;0.0092
55.2;-0.0084
55.3;0.0012
55.4;-0.0214
55.5;0.0061
55.6;-0.0169
55.7;0.0047
55.8;-0.0035
55.9;-0.0064
56.0;0.0004
56.1;0.0041
56.2;-0.0123
56.3;0.0079
56.4;0.0128
56.5;-0.0002
56.6;-0.0065
56.7;-0.0072
56.8;0.015
56.9;-0.0039
57.0;0.0065
57.1;-0.0014
57.2;0.0027
57.3;-0.009
57.4;-0.0047
57.5;-0.0014
57.6;-0.0023
57.7;-0.0031
57.8;-0.0007
57.9;-0.0
58.0;-0.0021
58.1;0.001
58.2;0.0036
58.3;-0.0003
58.4;-0.0008
58.5;0.0002
58.6;0.0007
58.7;-0.0003
58.8;-0.0006
58.9;0.0013
59.0;-0.0005
59.1;-0.0013
59.2;0.0
59.3;-0.0003
59.4;-0.0006
59.5;0.0004
59.6;-0.0003
59.7;0.0001
59.8;0.0001
59.9;0.0
